date,open,high,low,close,TR,ATR,CI,trend
2016.02.11,1.45211,1.45632,1.43819,1.44731,0.01812999999999998,0.017059999999999995,54.41081274778213,0
2016.02.12,1.44717,1.45699,1.44427,1.44979,0.012720000000000065,0.017354999999999992,55.17336599876539,0
2016.02.15,1.45038,1.45351,1.44122,1.44298,0.012290000000000134,0.016847857142857144,55.698861779911375,0
2016.02.16,1.44291,1.45153,1.42759,1.43016,0.023940000000000072,0.0176607142857143,56.329952752659516,0
2016.02.17,1.43016,1.43389,1.42345,1.42864,0.010440000000000005,0.017150000000000016,56.82464474231299,0
2016.02.18,1.42858,1.43941,1.4256,1.43293,0.0138100000000001,0.016252857142857163,63.20809696302712,0
2016.02.19,1.43339,1.43954,1.42462,1.43907,0.014920000000000044,0.015768571428571448,63.885212741674046,0
2016.02.22,1.42745,1.43056,1.4057,1.41488,0.03337000000000012,0.017293571428571464,51.192675762741004,1
2016.02.23,1.41489,1.41558,1.40073,1.40192,0.01485000000000003,0.0164571428571429,48.18734328395467,1
2016.02.24,1.40191,1.40266,1.38781,1.39245,0.01485000000000003,0.01652000000000004,45.37417217948933,1
2016.02.25,1.39223,1.39961,1.38992,1.39574,0.009689999999999976,0.016218571428571478,45.95422293565998,1
2016.02.26,1.39575,1.40421,1.38533,1.38725,0.018880000000000008,0.016162857142857194,44.53952532296909,1
2016.02.29,1.38527,1.3946,1.38352,1.39114,0.011079999999999979,0.015973571428571476,43.428346253515684,1
2016.03.01,1.39112,1.40177,1.39032,1.39504,0.01144999999999996,0.01574428571428575,43.64674095946294,1
2016.03.02,1.39512,1.40924,1.39143,1.40749,0.017810000000000104,0.015721428571428615,43.427920194909866,1
2016.03.03,1.40758,1.41938,1.40316,1.41722,0.016220000000000123,0.01597142857142862,45.03912374387764,1
2016.03.04,1.41714,1.4248,1.41067,1.42227,0.014129999999999976,0.01610285714285718,46.003467952139445,1
2016.03.07,1.42148,1.42833,1.41332,1.42588,0.01501000000000019,0.015465000000000046,52.98745254634549,1
2016.03.08,1.42594,1.42752,1.41731,1.4211,0.01020999999999983,0.015448571428571463,52.70211964176338,1
2016.03.09,1.4211,1.42409,1.4177,1.42102,0.006390000000000118,0.014918571428571463,52.476844397026895,1
2016.03.10,1.42102,1.43165,1.41174,1.42763,0.019910000000000094,0.015275000000000039,58.14534218713158,1
2016.03.11,1.42775,1.44359,1.42538,1.43756,0.018209999999999837,0.014192142857142875,49.218177273321565,1
2016.03.14,1.43714,1.43889,1.42922,1.42983,0.009670000000000067,0.013822142857142878,48.76194847629604,1
2016.03.15,1.42989,1.43049,1.41383,1.41508,0.01666000000000012,0.013951428571428599,48.311870762347425,1
2016.03.16,1.41514,1.4273,1.40524,1.42502,0.02205999999999997,0.014835000000000027,48.06720083452115,1
2016.03.17,1.42493,1.45027,1.42211,1.44717,0.028159999999999963,0.015497857142857166,43.95353004603497,1
2016.03.18,1.44722,1.45141,1.44103,1.4476,0.010380000000000056,0.015447857142857171,47.2173462061892,1
2016.03.21,1.44555,1.44673,1.43648,1.43664,0.011120000000000019,0.015424285714285748,47.85504513359576,1
2016.03.22,1.43666,1.43971,1.41904,1.42112,0.020669999999999966,0.015628571428571453,56.084400129888024,1
2016.03.23,1.42112,1.4228,1.40811,1.41161,0.014690000000000092,0.015519285714285735,57.67323904867032,1
2016.03.24,1.4116,1.41825,1.40564,1.41516,0.01261000000000001,0.015410714285714309,57.54904826184744,1
2016.03.25,1.41516,1.41558,1.41077,1.41296,0.004809999999999981,0.014682142857142866,57.40808836188747,1
2016.03.28,1.41262,1.42826,1.41193,1.42533,0.016330000000000178,0.015119285714285748,57.348640721183514,1
2016.03.29,1.42529,1.44033,1.41944,1.43802,0.020890000000000075,0.01615500000000003,57.571378778047574,1
2016.03.30,1.43751,1.44587,1.43606,1.4376,0.009810000000000096,0.01543357142857146,57.599850344132825,1
2016.03.31,1.43754,1.44258,1.43254,1.4358,0.010040000000000049,0.014850000000000045,57.717740922488204,1
2016.04.01,1.436,1.43708,1.41703,1.42207,0.0200499999999999,0.015591428571428605,58.03299607613974,1
2016.04.04,1.42186,1.43213,1.41902,1.4262,0.013109999999999955,0.015337857142857165,58.27821295192436,1
2016.04.05,1.42563,1.42783,1.41209,1.41587,0.015739999999999865,0.014886428571428587,58.61699417175816,1
